VII	497366	497458	-	1790
VII	497938	497999	-	1790
VII	543639	543721	+	1820
VII	555831	556307	+	1828
VII	700989	701011	-	1907
VII	727039	727357	+	1920
VII	857422	857453	-	1998
VII	859261	859473	-	2001
VII	878746	878779	-	2009
VII	920665	921119	+	2035
VII	946328	946420	+	2049
VII	1084883	1085030	+	2123
VIII	1898	2670	-	5906
VIII	104406	104803	+	5966
VIII	107832	107894	+	5968
VIII	126552	127112	+	5980
VIII	129529	129647	+	5982
VIII	138241	138408	-	5988
VIII	148117	148666	-	5994
VIII	187515	187676	-	6018
VIII	189750	189850	-	6020
VIII	237884	237902	-	6061
VIII	251156	251248	+	6070
VIII	255638	255750	-	6071
VIII	262355	262440	-	6074
VIII	298361	298484	-	6093
VIII	315772	315858	-	6097
VIII	354865	354955	+	6119
VIII	358514	358532	-	6121
VIII	382307	382747	-	6143
VIII	388929	388959	-	6148
VIII	498720	498786	-	6213
VIII	505248	505516	-	6217
VIII	558616	558714	+	6238
IX	4599	4986	-	6242
IX	47699	47760	+	6260
IX	68716	69149	+	6269
IX	99096	99385	-	6287
IX	166435	166519	+	6315
IX	225810	225899	-	6353
IX	231958	232366	-	6358
IX	256555	257026	-	6378
IX	316772	317171	+	6419
IX	335936	335936	-	6431
IX	348364	348494	-	6438
X	4582	4969	-	4757
X	50269	50411	-	4779
X	73797	74204	+	4795
X	75939	76324	+	4797
X	91095	91411	+	4809
X	156790	157249	-	4855
X	354283	354296	+	4957
X	387349	387435	-	4976
X	396494	396570	-	4985
X	415967	416000	-	4999
X	435228	435343	+	5011
X	469184	469263	-	5034
X	542992	543005	-	5071
X	580348	581052	+	5094
X	608307	608581	+	5110
X	617957	617975	+	5117
X	637810	637858	+	5130
X	702799	703054	-	5166
XI	82999	83074	+	5221
XI	109578	109883	+	5233
XI	155272	155654	+	5258
XI	158616	158966	+	5259
XI	283096	283421	+	5344
XI	302954	302987	+	5355
XI	430456	430596	-	5431
XI	432035	432432	+	5433
XI	437838	437905	+	5437
XI	447707	447810	-	5442
XI	449952	450020	-	5443
XI	458595	458626	+	5448
XI	551681	552002	+	5500
XI	579002	579024	+	5518
XI	618375	618742	-	5540
XI	625902	625976	+	5542
XII	3916	4014	-	2126
XII	9451	9549	-	2129
XII	40222	40400	-	2146
XII	92584	92614	+	2171
XII	242322	242680	+	2248
XII	250861	250947	-	2254
XII	263206	263594	+	2261
XII	286468	286556	-	2278
XII	327259	327399	-	2293
XII	398533	398626	+	2333
XII	455182	455413	-	2365
XII	455572	455932	-	2365
XII	464319	464550	-	2379
XII	464709	465069	-	2379
XII	522670	523028	+	2430
XII	548678	548763	-	2444
XII	550459	550574	-	2447
XII	564455	564513	-	2456
XII	592563	592581	-	2474
XII	605336	605395	-	2478
XII	628421	628453	+	2495
XII	694383	694472	+	2528
XII	712726	713155	-	2543
XII	732128	732146	+	2559
XII	744154	744287	+	2565
XII	766074	766129	-	2577
XII	766182	766249	-	2577
XII	784390	784409	+	2589
XII	786616	786712	+	2591
XII	819331	819777	+	2613
XII	856575	857057	+	2640
XII	875413	875435	+	2652
XII	931350	931698	-	2683
XII	987142	987212	+	2707
XII	1024573	1024654	+	2728
XII	1028869	1029252	+	2731
XII	1067085	1067363	+	2748
XIII	3792	3890	-	3289
XIII	23361	23658	-	3300
XIII	82291	82373	+	3336
XIII	99260	99375	-	3346
XIII	123743	124157	-	3359
XIII	140091	140183	-	3366
XIII	163309	163716	-	3379
XIII	168834	168847	+	3384
XIII	196104	196134	-	3398
XIII	206098	206203	+	3401
XIII	211445	211570	+	3404
XIII	223381	223781	-	3412
XIII	225240	225338	-	3413
XIII	225892	226289	+	3414
XIII	236592	236953	+	3421
XIII	337818	337903	+	3489
XIII	352317	352334	+	3498
XIII	379339	379372	-	3508
XIII	424998	425153	+	3539
XIII	499879	500151	-	3580
XIII	504933	504964	+	3584
XIII	517564	517885	+	3593
XIII	537449	537564	+	3601
XIII	550802	551203	-	3611
XIII	551952	552495	+	3613
XIII	651161	651623	+	3675
XIII	652776	652847	-	3677
XIII	666934	667017	-	3685
XIII	721199	721345	-	3710
XIII	732466	732875	+	3715
XIII	837967	837980	+	3778
XIII	854817	854898	+	3788
XIV	5932	6079	-	4302
XIV	48294	48401	+	4331
XIV	62373	62923	-	4341
XIV	64019	64450	-	4342
XIV	145150	145254	-	4383
XIV	185492	185586	+	4402
XIV	331326	331837	+	4488
XIV	350958	351053	+	4503
XIV	366036	366157	+	4514
XIV	374906	374923	+	4521
XIV	380690	380781	-	4524
XIV	414912	415913	+	4543
XIV	443044	443075	+	4562
XIV	443827	444171	-	4563
XIV	494525	494973	-	4590
XIV	534875	534965	-	4611
XIV	545292	545370	+	4617
XIV	547130	547160	+	4619
XIV	557611	557684	+	4625
XIV	568151	568181	+	4629
XIV	609791	609874	+	4658
XIV	622945	623286	+	4666
XIV	721771	722302	-	4729
XV	80361	80774	+	911
XV	92441	92830	-	917
XV	93844	94290	-	918
XV	240948	241025	-	1001
XV	242442	242504	-	1002
XV	274710	274728	+	1026
XV	288231	288244	+	1034
XV	301133	301162	+	1044
XV	438680	438702	+	1125
XV	464486	464515	+	1141
XV	505938	506338	+	1167
XV	552666	552874	-	1194
XV	678380	678790	-	1260
XV	778860	779386	-	1318
XV	780121	780277	+	1320
XV	785688	785688	+	1324
XV	867150	867586	+	1381
XV	912086	912432	-	1411
XV	980719	980751	+	1441
XVI	5841	5988	-	2755
XVI	56205	56238	-	2781
XVI	75986	76223	-	2790
XVI	96154	96233	-	2800
XVI	138726	138864	+	2824
XVI	173163	173571	+	2844
XVI	173666	174072	+	2844
XVI	218647	218746	+	2871
XVI	281374	281503	-	2904
XVI	282141	282665	+	2905
XVI	305307	305411	+	2920
XVI	345445	345596	-	2942
XVI	377996	378389	-	2962
XVI	404957	405457	+	2971
XVI	406647	407067	+	2973
XVI	412262	413012	+	2977
XVI	459006	459006	+	3001
XVI	492919	493020	-	3023
XVI	560234	560252	-	3056
XVI	582559	582701	-	3068
XVI	622576	622594	-	3087
XVI	623578	623710	+	3088
XVI	654168	654570	+	3104
XVI	678194	678279	-	3124
XVI	729386	729481	-	3163
XVI	769243	769265	-	3186
XVI	795030	795394	+	3201
XVI	833694	833827	+	3227
XVI	883388	883486	+	3251
XVI	911277	911352	+	3270
XVI	943051	943198	+	3285
Mito	13987	16434	+	6976,6977,6979,6980,6981
Mito	16471	18953	+	6976,6977,6980,6981
Mito	18992	20507	+	6976,6980,6981
Mito	20985	21994	+	6976,6980
Mito	22247	23611	+	6976
Mito	23747	25317	+	6976
Mito	24871	24905	+	6982
Mito	25343	26228	+	6976
Mito	36955	37722	+	6987,6988,6989,6990
Mito	37737	39140	+	6987,6989,6990
Mito	39218	40840	+	6987,6990
Mito	41091	42507	+	6990
Mito	42559	43296	+	6990
Mito	60725	61867	+	6997
Mito	75623	75662	+	7017
Mito	75873	75903	+	7017
